Name,scorecard id,4 Year Graduation rate,6 Year Graduation rate,8 Year Graduation rate,"Latitude, Longitude",City,State,alias,Gender Restricted,URL,NPC URL,Percent Male,Percent Female,HBCU,Student to Faculty Ratio,% American Indian and Alaska Native,% Native Hawaiian and Pacific Islander,% Asian,% Black,% White,% Unknown Race,% Hispanic,% Multiracial,% International,Faculty % American Indian and Alaska Native,Faculty % Native Hawaiian and Pacific Islander,Faculty % Asian,Faculty % Black,Faculty % White,Faculty % Unknown Race,Faculty % Hispanic,nonresident,Faculty % Multiracial,% Students in Legal,% Students in Health,% Students in English,% Students in History,% Students in Library,% Students in Computer,% Students in Language,% Students in Military,% Students in Education,% Students in Resources,% Students in Biological,% Students in Humanities,% Students in Psychology,% Students in Agriculture,% Students in Engineering,% Students in Mathematics,% Students in Architecture,% Students in Construction,% Students in Communication,% Students in Social Science,% Students in Transportation,% Students in Multidiscipline,% Students in Physical Science,% Students in Personal Culinary,% Students in Visual Performing,% Students in Business Marketing,% Students in Science Technology,% Students in Philosophy Religious,% Students in Precision Production,% Students in Engineering Technology,% Students in Ethnic Cultural Gender,% Students in Family Consumer Science,% Students in Parks Recreation Fitness,% Students in Security Law Enforcement,% Students in Communications Technology,% Students in Mechanic Repair Technology,% Students in Theology Religious Vocation,% Students in Public Administration Social Service,Undergraduate Enrollment,Graduate Enrollment,Total Enrollment,in state tuition,out of state tuition,Net Price,Room and Board,Student Earnings 10 Years after College,Religious Affiliation,Location Type,US News Ranking,US News Business Ranking,US News Computer Science Ranking,ACT Math 25th Percentile,ACT Math 50th Percentile,ACT Math 75th Percentile,ACT Verbal 25th Percentile,ACT Verbal 50th Percentile,ACT Verbal 75th Percentile,ACT Score 25th Percentile,ACT Score 50th Percentile,ACT Score 75th Percentile,SAT Math 25th Percentile,SAT Math 50th Percentile,SAT Math 75th Percentile,SAT Verbal 25th Percentile,SAT Verbal 50th Percentile,SAT Verbal 75th Percentile,SAT Equivalent Average Score,Top 3 Majors by Percentage,Top 5 Majors by Percentage,Best Colleges for Engineering,Best Colleges with No Application Fee,Top Public Universities,Hardest Colleges to Get Into,Best Small Colleges,Best College Dorms,Colleges with the Best Professors,Safest College Campuses,Colleges with the Best Academics,Most Diverse Colleges,Best College Food,Best Test Optional Colleges,Best Colleges,Best Colleges for Student Athletes,Best Value Colleges,Most Liberal Colleges,Best Colleges for Accounting and Finance,Best Colleges for Business,Best Colleges for Communications,Top Private Universities,Best College Athletics,Best Colleges that Accept the Common App,Top Party Schools,Colleges with the Best Student Life,Best Christian Colleges,Best Colleges for Music,Most Conservative Colleges,Best Colleges for Religious Studies,Best Colleges for Nursing,Best Colleges for Education,Best College Locations,Best Colleges for Psychology,Best Colleges for English,Best Colleges for Math,Best College Campuses,Best Colleges for Biology,Best Colleges for Information Technology,Best Colleges for Public Policy,Best Greek Life Colleges,Best Colleges for History,Best Catholic Colleges,Best Colleges for Kinesiology and Physical Therapy,Best Colleges for International Relations,Best Colleges for Computer Science,Best Colleges for Chemistry,Best Colleges for Physics,Best Colleges for Environmental Science,Best Colleges for Criminal Justice,Best Liberal Arts Colleges,Best Online Colleges,Best Colleges for Agricultural Sciences,Best Colleges for Public Health,Best Big Colleges,Best Colleges for Anthropology and Sociology,Best Colleges for Design,Best Colleges for Economics,Best Colleges for Political Science,Best Colleges for Sports Management,Best Colleges for Film and Photography,Best Colleges for Performing Arts,Best Colleges for Philosophy,Best Colleges for Art,Best Women's Colleges,Best Hispanic-Serving Institutions,Best Colleges for Architecture,Best Colleges for Global Studies,Best Colleges for Culinary Arts,Best HBCU Schools,Closest Major Airport Code,Drive Time to Airport,Distance to Airport (Miles by road),Total Minutes to Airport,Acceptance Rate,% Jewish,EA,ED,ED2,% Received Merit (Freshmen w/o need),Average Award (Freshmen w/o need),ED Deadline,ED2 Deadline,ED/ED2 Notification Dates,Source URL (may have more useful info),Common Data Set URL
"University of Alabama, Birmingham",100663,42.09%,62.45%,65.74%,"33.505697, -86.799345",Birmingham,AL,UAB,,https://www.uab.edu/,https://tcc.ruffalonl.com/University of Alabama at Birmingham/Freshman-Students,37.90%,62.10%,,19 to 1,0.21%,0.04%,7.67%,24.58%,52.97%,0.68%,6.69%,4.83%,2.33%,0.15%,0.12%,15.75%,6.19%,68.08%,0.04%,3.19%,5.69%,0.81%,0%,20.88%,1.41%,1.41%,0%,2.29%,0.51%,0%,6.67%,0%,11.25%,3.27%,7.14%,0%,5.59%,1.11%,0%,0%,3.33%,2.39%,0%,0%,1.89%,0%,2.49%,21.59%,0.07%,0.67%,0%,0%,0.20%,0%,0%,3.87%,0%,0%,0%,1.95%,13284,8742,22026,"$57,252 ","$42,462 ",16585,12307,50907,,City: Midsize (250k > pop. > 100k),,,,21,25,28,23,28,33,23,27,30,580,644,708,593,637,680,1266,Business Marketing: 21.59% | Health: 20.88% | Biological: 11.25%,Business Marketing: 21.59% | Health: 20.88% | Biological: 11.25% | Psychology: 7.14% | Education: 6.67%,115,,41,,,379,64,,146,235,266,117,126,118,384,,79,94,270,,130,,281,111,,,,,45,57,117,84,199,174,313,67,,61,,202,,,,148,102,188,,23,,,,29,,312,,,291,,,144,119,112,,,,,,,BHM,13 mins,7.0 mi,13,0.8854,,,,,84%,"$10,079 ",,,,,https://www.uab.edu/institutionaleffectiveness/images/documents/cds/cds_2022-23.pdf
University of Alabama in Huntsville,100706,35.28%,60.72%,60.82%,"34.724557, -86.640449",Huntsville,AL,UAH  University of Alabama Huntsville,,www.uah.edu/,finaid.uah.edu/,59.53%,40.47%,,19 to 1,0.80%,0.12%,3.57%,8.71%,71.96%,2.61%,6.10%,4.46%,1.66%,0.85%,0%,18.23%,5.13%,68.09%,0%,2.56%,4.84%,0.28%,0%,13.41%,2.43%,0.73%,0%,6.92%,1.21%,0%,2.18%,0%,5.04%,0%,2.12%,0%,30.28%,0.91%,0%,0%,1.40%,1.27%,0%,1.46%,3.82%,0%,4.07%,19.30%,0%,0.55%,0%,0%,0%,0%,2.91%,0%,0%,0%,0%,0%,7358,2067,9425,23884,23884,17250,10764,56901,,City: Midsize (250k > pop. > 100k),,,,23,26,29,24,28,32,24,28,31,590,655,720,580,640,700,1300,Engineering: 30.28% | Business Marketing: 19.3% | Health: 13.41%,Engineering: 30.28% | Business Marketing: 19.3% | Health: 13.41% | Computer: 6.92% | Biological: 5.04%,85,,103,599,,336,366,723,263,592,227,254,272,338,529,,249,175,,,670,,,640,,,32,,102,440,467,,,196,548,355,,,,,,,,112,205,98,,,,,,,,,,,322,,,,,,,,,,,,HSV,19 mins,13.2 mi,19,0.7367,,,,,,,,,,,https://www.uah.edu/images/administrative/provost/oir/CDS/cds_2022-2023.pdf
"University of California, Los Angeles",110662,82.60%,92.13%,92.42%,"34.07178, -118.442179",Los Angeles,CA,UCLA,,www.ucla.edu/,https://admission.ucla.edu/tuition-aid/net-cost-calculator,40.23%,59.77%,,18 to 1,0.16%,0.18%,29.13%,3.20%,26.23%,2.71%,21.69%,6.71%,9.99%,0.22%,0.09%,22.37%,3.00%,44.99%,4.67%,6.70%,16.70%,1.27%,0%,0.50%,3.29%,3.04%,0%,3.60%,2.27%,0%,0.11%,1.03%,16.77%,0.03%,10.90%,0%,7.50%,6.96%,0.20%,0%,1.68%,25.56%,0%,4.92%,2.06%,0%,3.99%,0.11%,0%,1.63%,0%,0%,3.20%,0%,0%,0%,0%,0%,0%,0.64%,32122,13994,46116,"$40,360 ","$40,360 ",11627,16763,79826,,City: Large (pop. > 250k),20,,12,,,,,,,,,,,,,,,,,Social Science: 25.56% | Biological: 16.77% | Psychology: 10.9%,Social Science: 25.56% | Biological: 16.77% | Psychology: 10.9% | Engineering: 7.5% | Mathematics: 6.96%,24,,1,32,,36,20,655,27,40,1,22,24,9,79,,,31,18,,34,,65,3,,15,,23,37,12,78,13,9,12,1,20,,,97,8,,,19,21,34,16,21,,,,,,1,13,5,33,17,,7,8,8,12,,,25,19,,,LAX,30 mins,12.0 mi,30,0.1077,7.80%,,,,5%,"$7,632 ",,,,,https://apb.ucla.edu/file/c4517b9b-1554-4daa-9194-dbc445d269e3
Virginia Tech,233921,67.64%,86.61%,86.82%,"37.229012, -80.423675",Blacksburg,VA,Virginia Polytechnic Institute and State University,,www.vt.edu/,https://tcc.ruffalonl.com/Virginia Polytechnic Institute and State Universit/Freshman-Students/,57.31%,42.69%,,14 to 1,0.11%,0.13%,11.95%,5.47%,61.32%,2.38%,8.61%,5.17%,4.85%,0.21%,0.07%,10.85%,3.53%,69.94%,0%,3.87%,10.54%,0.99%,0%,0%,0.90%,0.93%,0%,4.90%,0.86%,0%,0%,3.19%,8.71%,0%,3.29%,4.36%,22.21%,2.79%,1.78%,0%,3.43%,8.67%,0%,0%,2.02%,0%,2.22%,20.51%,0%,0.47%,0%,0.58%,0%,7.81%,0%,0%,0%,0%,0%,0.34%,29699,7519,37218,"$48,444 ","$29,365 ",20927,10110,77621,,City: Small (pop. < 100k),62,39,29,26,29,31,24,29,33,26,29,32,600,660,720,610,650,690,1320,Engineering: 22.21% | Business Marketing: 20.51% | Biological: 8.71%,Engineering: 22.21% | Business Marketing: 20.51% | Biological: 8.71% | Social Science: 8.67% | Family Consumer Science: 7.81%,41,,17,341,,374,60,489,125,623,2,61,68,61,61,,35,36,120,,53,59,83,17,,,,,,,375,105,138,65,4,72,,123,98,149,,,60,47,103,75,56,,,,15,,18,91,31,121,135,,,168,124,148,,,15,,,,ROA,45 mins,40.2 mi,45,0.5647,8.40%,,Y,,20%,"$3,540 ",1-Nov,,Mid-December,https://vt.edu/admissions/undergraduate/apply/policies.html,
"Birmingham, Southern College",100937,64.85%,69.84%,69.38%,"33.513774, -86.850552",Birmingham,AL,BSC,,www.bsc.edu/,www.bsc.edu/fp/np-calculator.cfm,48.95%,51.05%,,10 to 1,0.38%,0%,2.58%,16.03%,72.90%,0%,5.73%,0.95%,1.43%,0.99%,0%,1.98%,4.95%,90.10%,0.99%,0%,0%,0.99%,0%,8.43%,1.15%,5.36%,0%,5.36%,0%,0%,5.36%,2.68%,8.81%,0%,6.51%,0%,0.77%,4.21%,0.38%,0%,3.83%,4.21%,0%,3.07%,2.68%,0%,7.28%,27.59%,0%,2.30%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1048,,,20100,20100,21098,13600,55236,United Methodist,City: Midsize (250k > pop. > 100k),,,,19,23,26,22,26,30,22,25,28,540,585,630,550,580,610,1214,Business Marketing: 27.59% | Biological: 8.81% | Health: 8.43%,Business Marketing: 27.59% | Biological: 8.81% | Health: 8.43% | Visual Performing: 7.28% | Psychology: 6.51%,,,,307,317,,421,,385,,,613,651,530,,,,290,,390,,403,355,481,116,,,,,421,,361,,198,,342,,,196,188,,,,,172,,,,139,,,,,,,,239,,,,,302,,,,,,,BHM,14 mins,8.6 mi,14,0.6591,,Y,Y,,,,,,,,https://www.bsc.edu/ire/images/CDS-2021-2022.pdf
University of Mobile,101693,35.82%,51.41%,56.86%,"30.793247, -88.128934",Mobile,AL,,,www.umobile.edu/,umobile.edu/financial-aid/cost-calculator/,34.35%,65.65%,,14 to 1,2.25%,1.71%,1.71%,15.92%,64.48%,8.00%,0.36%,2.07%,3.51%,0%,0%,1.41%,2.82%,92.96%,0%,1.41%,1.41%,0%,0%,22.50%,0%,1.67%,0%,0%,0%,0%,8.33%,0%,5.00%,6.67%,7.08%,0%,0%,0.42%,0%,0%,1.67%,2.92%,0%,1.25%,0%,0%,4.17%,13.33%,0%,5.00%,0%,0%,0%,3.33%,9.17%,0%,0%,0%,7.50%,0%,1112,257,1369,24855,24855,18986,10088,43640,Southern Baptist,Rural: Fringe,,,,,,,,,,,,,,,,,,,,Health: 22.5% | Business Marketing: 13.33% | Parks Recreation Fitness: 9.17%,Health: 22.5% | Business Marketing: 13.33% | Parks Recreation Fitness: 9.17% | Education: 8.33% | Theology Religious Vocation: 7.5%,,,,487,180,17,,127,663,526,112,402,427,574,882,,,205,,261,542,,,131,67,63,,127,159,166,727,358,,,23,,,,,280,,,,,,,,,,,,,,291,,,,,,,,,,,,,,,MOB,27 mins,16.4 mi,27,0.6409,,,,,,,,,,,
University of North Alabama,101879,28.29%,51.21%,52.26%,"34.806738, -87.681361",Florence,AL,UNA,,www.una.edu/,studentnpc.collegeboard.org/,36.36%,63.64%,,17 to 1,0.52%,0.06%,1.14%,12.10%,73.44%,0.66%,4.26%,3.79%,4.03%,0.34%,0%,3.79%,6.90%,78.62%,0.69%,3.10%,5.17%,1.38%,0%,13.30%,1.66%,1.35%,0%,2.77%,1.03%,0%,9.58%,0%,3.72%,0%,4.04%,0%,0%,0.48%,1.19%,0%,4.28%,4.35%,0%,5.15%,1.82%,0.08%,5.38%,24.15%,0%,0%,0%,1.11%,0%,0.95%,6.81%,1.98%,0%,0%,0%,4.83%,5165,2442,7607,20220,20220,12631,7966,42601,,City: Small (pop. < 100k),,,,,,,,,,,,,,,,,,,,Business Marketing: 24.15% | Health: 13.3% | Education: 9.58%,Business Marketing: 24.15% | Health: 13.3% | Education: 9.58% | Parks Recreation Fitness: 6.81% | Visual Performing: 5.38%,,173,225,,,287,606,642,633,651,160,528,560,298,963,,274,,305,,150,,541,269,,,,,,310,483,,,,151,,,,,,,,,,285,,,,,,,,,,,,,153,,,,,,,,,62,,HSV,1 hour 22 mins,67.5 mi,82,0.8997,,,,,,,,,,,https://www.una.edu/research/Institutional%2520Data/university-of-north-alabama-cds-2022-2023.pdf
"University of Massachusetts, Amherst",166629,77.12%,83.71%,82.94%,"42.385999, -72.526728",Amherst,MA,UMass Amherst,,www.umass.edu/,www.umass.edu/net_price_calculator/,48.84%,51.16%,,18 to 1,0.10%,0.05%,11.73%,4.78%,60.36%,3.86%,8.55%,3.82%,6.76%,0.34%,0%,13.01%,4.01%,64.41%,2.58%,3.44%,11.00%,1.20%,1.04%,7.65%,1.87%,1.08%,0%,4.56%,1.92%,0%,0.51%,1.84%,9.52%,1.11%,6.16%,3.45%,7.84%,2.94%,1.73%,0%,4.96%,11.13%,0%,6.23%,1.64%,0%,1.96%,16.55%,0%,0.35%,0%,0%,0.47%,0%,1.55%,0.64%,0%,0%,0%,1.32%,23947,7814,31761,"$53,581 ","$33,056 ",16197,13595,65645,,Suburb: Large City,67,51,29,26,30,33,27,31,34,28,31,33,630,690,750,620,665,710,1362,Business Marketing: 16.55% | Social Science: 11.13% | Biological: 9.52%,Business Marketing: 16.55% | Social Science: 11.13% | Biological: 9.52% | Engineering: 7.84% | Health: 7.65%,124,,37,325,,494,92,,156,209,3,107,115,137,153,,60,67,148,,176,94,45,72,,107,,,98,162,742,100,195,108,188,123,,,55,271,,91,,69,99,88,102,,,,31,37,37,170,,99,116,34,,153,170,291,,,44,,,,BDL,53 mins,41.8 mi,53,0.6553,9.60%,Y,,,64%,"$6,943 ",,,,,
Spring Hill College,102234,48.19%,56.39%,57.54%,"30.694751, -88.138199",Mobile,AL,"Springhill, Springhill College, SHC, the Hill",,https://www.shc.edu/,https://www.shc.edu/admissions-aid/tuition-financial-aid/net-price-calculator/,41.46%,58.54%,,11 to 1,0.61%,0.10%,1.62%,14.05%,62.89%,4.55%,8.49%,1.92%,5.76%,0%,0%,2.41%,3.61%,87.95%,1.20%,2.41%,2.41%,0%,0%,19.83%,2.48%,2.48%,0%,0%,0%,0%,9.09%,0%,9.50%,2.07%,9.50%,0%,0.41%,0.41%,0%,0%,7.85%,7.02%,0%,0%,0%,0%,2.89%,24.38%,0%,2.07%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,989,117,1106,21100,21100,20891,11440,51166,Roman Catholic,City: Midsize (250k > pop. > 100k),,,,15,17,19,15,18,20,17,19,21,480,505,530,490,510,530,1019,Business Marketing: 24.38% | Health: 19.83% | Biological: 9.5%,Business Marketing: 24.38% | Health: 19.83% | Biological: 9.5% | Psychology: 9.5% | Education: 9.09%,,185,,247,278,,,,597,483,,549,581,645,,,,258,303,349,,371,224,476,,,,,,,621,441,,,544,312,,,149,347,72,,,,,,,,128,,,,,181,,,313,,,,,,,,,,,,MOB,18 mins,6.9 mi,18,0.7152,,,,,,,,,,,
Troy University,102368,29.50%,51.83%,51.29%,"31.800672, -85.957094",Troy,AL,TROY,,www.troy.edu/,www.troy.edu/net-price-calculator/index.html,34.99%,65.01%,,16 to 1,0.29%,0.12%,0.63%,32.69%,52.97%,2.92%,4.53%,4.07%,1.78%,0.44%,0%,2.18%,7.21%,77.51%,1.09%,0%,11.35%,0.22%,0%,9.22%,1.01%,1.16%,0%,5.17%,0.67%,0%,5.10%,0.30%,3.15%,10.08%,10.16%,0%,0%,0.49%,0%,0%,3.45%,4.84%,0%,4.46%,0.71%,0%,2.02%,19.79%,0%,0%,0%,0.30%,0%,0%,2.10%,7.08%,0%,0%,0%,8.73%,10916,3604,14520,18624,18624,14019,7599,41691,,Town: Remote,,,,16,20,23,17,21,25,17,21,25,450,510,570,485,533,580,1082,Business Marketing: 19.79% | Psychology: 10.16% | Humanities: 10.08%,Business Marketing: 19.79% | Psychology: 10.16% | Humanities: 10.08% | Health: 9.22% | Public Administration Social Service: 8.73%,,,278,,,223,543,519,,921,121,649,687,301,890,,,310,349,,105,,299,243,,,48,,269,394,,,,,277,,,198,192,,,,,,,,,194,,52,,,,,,,,,,,,,,,,,,,MGM,1 hour 4 mins,53.6 mi,64,0.9527,,,,,,,,,,,https://www.troy.edu/_assets/irpe/_documents/cds-2022-2023.pdf
